dwelling-type,from-state,to-state,cost
house-end-solid-3,dg,dg-loft270,500
house-end-solid-3,dg,dg-swi,5500
house-end-solid-3,swi,dg-swi,3700
house-end-solid-3,swi,loft270-swi,500
house-end-solid-3,loft270,dg-loft270,3700
house-end-solid-3,loft270,loft270-swi,5500
house-end-solid-3,dg-loft100,dg-loft270,500
house-end-solid-3,dg-loft100,dg-loft100-swi,5500
house-end-solid-3,loft100-swi,dg-loft100-swi,3700
house-end-solid-3,loft100-swi,loft270-swi,500
house-end-solid-3,dg-swi,dg-loft270-swi,500
house-end-solid-3,dg-loft270,dg-loft270-swi,5500
house-end-solid-3,loft270-swi,dg-loft270-swi,3700
house-end-solid-3,dg-loft100-swi,dg-loft270-swi,500
house-end-solid-4,minimum,dg,3700
house-end-solid-4,minimum,loft270,500
house-end-solid-4,minimum,swi,5500
house-end-solid-4,loft100,dg-loft100,3700
house-end-solid-4,loft100,loft270,500
house-end-solid-4,loft100,loft100-swi,5500
house-end-solid-4,dg,dg-loft270,500
house-end-solid-4,dg,dg-swi,5500
house-end-solid-4,swi,dg-swi,3700
house-end-solid-4,swi,loft270-swi,500
house-end-solid-4,loft270,dg-loft270,3700
house-end-solid-4,loft270,loft270-swi,5500
house-end-solid-4,dg-loft100,dg-loft270,500
house-end-solid-4,dg-loft100,dg-loft100-swi,5500
house-end-solid-4,loft100-swi,dg-loft100-swi,3700
house-end-solid-4,loft100-swi,loft270-swi,500
house-end-solid-4,dg-swi,dg-loft270-swi,500
house-end-solid-4,dg-loft270,dg-loft270-swi,5500
house-end-solid-4,loft270-swi,dg-loft270-swi,3700
house-end-solid-4,dg-loft100-swi,dg-loft270-swi,500
house-end-solid-5,minimum,dg,3700
house-end-solid-5,minimum,loft270,500
house-end-solid-5,minimum,swi,5500
house-end-solid-5,loft100,dg-loft100,3700
house-end-solid-5,loft100,loft270,500
house-end-solid-5,loft100,loft100-swi,5500
house-end-solid-5,dg,dg-loft270,500
house-end-solid-5,dg,dg-swi,5500
house-end-solid-5,swi,dg-swi,3700
house-end-solid-5,swi,loft270-swi,500
house-end-solid-5,loft270,dg-loft270,3700
house-end-solid-5,loft270,loft270-swi,5500
house-end-solid-5,dg-loft100,dg-loft270,500
house-end-solid-5,dg-loft100,dg-loft100-swi,5500
house-end-solid-5,loft100-swi,dg-loft100-swi,3700
house-end-solid-5,loft100-swi,loft270-swi,500
house-end-solid-5,dg-swi,dg-loft270-swi,500
house-end-solid-5,dg-loft270,dg-loft270-swi,5500
house-end-solid-5,loft270-swi,dg-loft270-swi,3700
house-end-solid-5,dg-loft100-swi,dg-loft270-swi,500
house-end-solid-6+,minimum,dg,3700
house-end-solid-6+,minimum,loft270,500
house-end-solid-6+,minimum,swi,5500
house-end-solid-6+,loft100,dg-loft100,3700
house-end-solid-6+,loft100,loft270,500
house-end-solid-6+,loft100,loft100-swi,5500
house-end-solid-6+,dg,dg-loft270,500
house-end-solid-6+,dg,dg-swi,5500
house-end-solid-6+,swi,dg-swi,3700
house-end-solid-6+,swi,loft270-swi,500
house-end-solid-6+,loft270,dg-loft270,3700
house-end-solid-6+,loft270,loft270-swi,5500
house-end-solid-6+,dg-loft100,dg-loft270,500
house-end-solid-6+,dg-loft100,dg-loft100-swi,5500
house-end-solid-6+,loft100-swi,dg-loft100-swi,3700
house-end-solid-6+,loft100-swi,loft270-swi,500
house-end-solid-6+,dg-swi,dg-loft270-swi,500
house-end-solid-6+,dg-loft270,dg-loft270-swi,5500
house-end-solid-6+,loft270-swi,dg-loft270-swi,3700
house-end-solid-6+,dg-loft100-swi,dg-loft270-swi,500
flat-top-cavity-1,minimum,dg,3700
flat-top-cavity-1,minimum,loft270,500
flat-top-cavity-1,loft100,dg-loft100,3700
flat-top-cavity-1,loft100,loft270,500
flat-top-cavity-1,dg,dg-loft270,500
flat-top-cavity-1,loft270,dg-loft270,3700
flat-top-cavity-1,dg-loft100,dg-loft270,500
flat-top-cavity-2,minimum,dg,3700
flat-top-cavity-2,minimum,loft270,500
flat-top-cavity-2,loft100,dg-loft100,3700
flat-top-cavity-2,loft100,loft270,500
flat-top-cavity-2,dg,dg-loft270,500
flat-top-cavity-2,loft270,dg-loft270,3700
flat-top-cavity-2,dg-loft100,dg-loft270,500
flat-top-cavity-3,minimum,dg,3700
flat-top-cavity-3,minimum,loft270,500
flat-top-cavity-3,loft100,dg-loft100,3700
flat-top-cavity-3,loft100,loft270,500
flat-top-cavity-3,dg,dg-loft270,500
flat-top-cavity-3,loft270,dg-loft270,3700
flat-top-cavity-3,dg-loft100,dg-loft270,500
flat-top-cavity-4,minimum,dg,3700
flat-top-cavity-4,minimum,loft270,500
flat-top-cavity-4,loft100,dg-loft100,3700
flat-top-cavity-4,loft100,loft270,500
flat-top-cavity-4,dg,dg-loft270,500
flat-top-cavity-4,loft270,dg-loft270,3700
flat-top-cavity-4,dg-loft100,dg-loft270,500
flat-top-cavity-5,minimum,dg,3700
flat-top-cavity-5,minimum,loft270,500
flat-top-cavity-5,loft100,dg-loft100,3700
flat-top-cavity-5,loft100,loft270,500
flat-top-cavity-5,dg,dg-loft270,500
flat-top-cavity-5,loft270,dg-loft270,3700
flat-top-cavity-5,dg-loft100,dg-loft270,500
flat-top-cavity-6+,minimum,dg,3700
flat-top-cavity-6+,minimum,loft270,500
flat-top-cavity-6+,loft100,dg-loft100,3700
flat-top-cavity-6+,loft100,loft270,500
flat-top-cavity-6+,dg,dg-loft270,500
flat-top-cavity-6+,loft270,dg-loft270,3700
flat-top-cavity-6+,dg-loft100,dg-loft270,500
flat-non-top-cavity-1,loft100,dg-loft100,3700
flat-non-top-cavity-2,loft100,dg-loft100,3700
flat-non-top-cavity-3,loft100,dg-loft100,3700
flat-non-top-cavity-4,loft100,dg-loft100,3700
flat-non-top-cavity-5,loft100,dg-loft100,3700
flat-non-top-cavity-6+,loft100,dg-loft100,3700
flat-top-solid-1,minimum,dg,3700
flat-top-solid-1,minimum,loft270,500
flat-top-solid-1,loft100,dg-loft100,3700
flat-top-solid-1,loft100,loft270,500
flat-top-solid-1,dg,dg-loft270,500
flat-top-solid-1,loft270,dg-loft270,3700
flat-top-solid-1,dg-loft100,dg-loft270,500
flat-top-solid-2,minimum,dg,3700
flat-top-solid-2,minimum,loft270,500
flat-top-solid-2,loft100,dg-loft100,3700
flat-top-solid-2,loft100,loft270,500
flat-top-solid-2,dg,dg-loft270,500
flat-top-solid-2,loft270,dg-loft270,3700
flat-top-solid-2,dg-loft100,dg-loft270,500
flat-top-solid-3,minimum,dg,3700
flat-top-solid-3,minimum,loft270,500
flat-top-solid-3,loft100,dg-loft100,3700
flat-top-solid-3,loft100,loft270,500
flat-top-solid-3,dg,dg-loft270,500
flat-top-solid-3,loft270,dg-loft270,3700
flat-top-solid-3,dg-loft100,dg-loft270,500
flat-top-solid-4,minimum,dg,3700
flat-top-solid-4,minimum,loft270,500
flat-top-solid-4,loft100,dg-loft100,3700
flat-top-solid-4,loft100,loft270,500
flat-top-solid-4,dg,dg-loft270,500
flat-top-solid-4,loft270,dg-loft270,3700
flat-top-solid-4,dg-loft100,dg-loft270,500
flat-top-solid-5,minimum,dg,3700
flat-top-solid-5,minimum,loft270,500
flat-top-solid-5,loft100,dg-loft100,3700
flat-top-solid-5,loft100,loft270,500
flat-top-solid-5,dg,dg-loft270,500
flat-top-solid-5,loft270,dg-loft270,3700
flat-top-solid-5,dg-loft100,dg-loft270,500
flat-top-solid-6+,minimum,dg,3700
flat-top-solid-6+,minimum,loft270,500
flat-top-solid-6+,loft100,dg-loft100,3700
flat-top-solid-6+,loft100,loft270,500
flat-top-solid-6+,dg,dg-loft270,500
flat-top-solid-6+,loft270,dg-loft270,3700
flat-top-solid-6+,dg-loft100,dg-loft270,500
flat-non-top-solid-1,loft100,dg-loft100,3700
flat-non-top-solid-2,loft100,dg-loft100,3700
flat-non-top-solid-3,loft100,dg-loft100,3700
flat-non-top-solid-4,loft100,dg-loft100,3700
flat-non-top-solid-5,loft100,dg-loft100,3700
flat-non-top-solid-6+,loft100,dg-loft100,3700
