space-heating-elect,water-heating-elect,appliance-elect,space-heating-gas,water-heating-gas,appliance-gas,space-heating-oil,water-heating-oil
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
0.1289,0.1289,0.1289,0.0415,0.0415,0.0415,0.0413,0.0413
